rank_plano,EMPRESA_JUNIOR,ESTADO,CIDADE,CNPJ,E_MAIL,SITE,FEDERATION_NAME,UNIVERSIDADE,CURSOS,MEMBROS,FATURAMENTO,CONTRATOS,CLUSTER_2024,E_DE_ALTO_CRESCIMENTO,FACEBOOK,aderencia,demanda,acessibilidade,capacidade,encaixe,score,planning_score,pure_comm,creative,broad,matches
1,Facto Agência de Comunicação,DF,Brasília,11.370.755/0001-02,contato@factoagencia.com.br,https://www.factoagencia.com.br/,Concentro,UNIVERSIDADE DE BRASÍLIA,"Comunicação Social - Audiovisual, Comunicação Social - Comunicação Organizacional, Comunicação Social - Publicidade E Propaganda, Jornalismo",29.0,204048.0,39.0,4.0,Sim,https://www.facebook.com/FactoAgencia,30,17.5,20,14.7,14.0,96.3,102.3,True,True,False,comunicação; jornalismo; publicidade; propaganda; audiovisual
2,ESPM Jr.,RJ,Rio de Janeiro,03.419.601/0001-21,diretoriapresidencia@espmjr.com,http://www.espmjr.com/,RioJunior,ESCOLA SUPERIOR DE PROPAGANDA E MARKETING DO RIO DE JANEIRO,"Administração, Comunicação Social - Publicidade E Propaganda, Design",37.0,302121.0,27.0,5.0,Sim,https://www.facebook.com/espmjuniorRJ/?fref=ts,28,18.0,20,13.4,12.5,91.9,97.9,True,True,False,comunicação; publicidade; propaganda; design
3,Arco Consultoria,PE,Recife,27.237.722/0001-10,comercial@arcoconsultoria.org,https://www.arcoconsultoria.org/,FEJEPE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,"Abi - Engenharia, Arquitetura E Urbanismo, Design, Engenharia Civil, Publicidade E Propaganda",30.0,180884.94,40.0,4.0,Sim,https://www.facebook.com/consultoria.arco,26,17.6,20,15,11.0,89.6,95.6,True,True,False,publicidade; propaganda; design
4,Cria UFMG,MG,Belo Horizonte,03.401.931/0001-90,presidencia@criaufmg.com.br,http://criaufmg.com.br/,FEJEMG,UNIVERSIDADE FEDERAL DE MINAS GERAIS,"Jornalismo, Publicidade E Propaganda, Relações Públicas",46.0,129677.0,33.0,3.0,Não,https://www.facebook.com/pg/criaufmg/about/?ref=page_internal,28,13.4,20,13.3,11.0,85.7,91.7,True,True,False,jornalismo; publicidade; propaganda; relações públicas
5,Ecos Jr.,ES,Vitória,02.226.797/0001-75,presidenciaecosjr@gmail.com,http://www.ecosjr.com.br/,Juniores,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,"Administração, Artes Plásticas, Artes Visuais, Cinema E Audiovisual, Comunicação Social - Jornalismo, Comunicação Social - Publicidade E Propaganda, Design, Letras - Português, Psicologia",51.0,55490.0,56.0,1.0,Sim,https://www.facebook.com/ecosjr/,30,16.6,20,11.2,15,92.8,88.8,True,True,True,comunicação; jornalismo; publicidade; propaganda; audiovisual; design
6,Ayra Consultoria,RJ,Rio de Janeiro,05.333.233/0001-20,diretoria@ayraconsultoria.com,https://www.ayraconsultoria.com.br/,RioJunior,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,"Abi - Comunicação Social, Administração, Biblioteconomia E Gestão De Unidades De Informação, Ciências Contábeis, Ciências Econômicas",52.0,352087.71,37.0,5.0,Não,https://www.facebook.com/ayraconsultoria/,22,16.6,20,14.6,9.5,82.8,88.8,True,True,False,comunicação
7,Pupila Audiovisual,DF,Brasília,12.556.073/0001-43,contato@pupilaaudiovisual.com.br,https://www.pupilaaudiovisual.com.br/,Concentro,UNIVERSIDADE DE BRASÍLIA,"Comunicação Social - Audiovisual, Comunicação Social - Comunicação Organizacional, Comunicação Social - Publicidade E Propaganda, Jornalismo",45.0,19020.0,16.0,1.0,Sim,https://web.facebook.com/PupilaAudiovisual/,30,11.2,20,6.8,14.0,82.0,88.0,True,True,False,comunicação; jornalismo; publicidade; propaganda; audiovisual
8,Aspecto Empreendimento Criativo,MG,Juiz de Fora,14.495.150/0001-28,contato@aspectojr.com.br,https://aspectojr.com.br,FEJEMG,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,"Artes Visuais, Cinema E Audiovisual, Design, Interdisciplinar Em Artes E Design - Bi/Li, Moda",32.0,78343.28,44.0,4.0,Não,https://www.facebook.com/aspectojr/,24,14.3,20,12.1,11.0,81.4,87.4,True,True,False,audiovisual; design
9,Produtora Júnior,BA,Salvador,08.106.974/0001-66,comercial@produtorajunior.com.br,http://produtorajunior.com.br/,UNIJr-BA,UNIVERSIDADE FEDERAL DA BAHIA,"Comunicação - Produção Em Comunicação E Cultura, Comunicação Social - Jornalismo, Interdisciplinar Em Artes, Interdisciplinar Em Humanidades",29.0,128938.74,30.0,4.0,Não,https://www.facebook.com/produtorajunior/?fref=ts,24,12.7,20,12.8,11.0,80.4,86.4,True,True,False,comunicação; jornalismo
10,Iris Comunicação,PB,João Pessoa,11.674.747/0001-41,ejiriscomunicacao@gmail.com,https://ejiriscomunicacao.com,PB júnior,UNIVERSIDADE FEDERAL DA PARAÍBA,"Cinema E Audiovisual, Jornalismo, Radialismo, Relações Públicas",28.0,41819.97,30.0,3.0,Não,https://facebook.com/ejiriscomunicacao,28,10.7,20,9.2,12.5,80.3,86.3,True,True,False,comunicação; jornalismo; relações públicas; audiovisual
