rank,score,EMPRESA_JUNIOR,E_MAIL,SITE,CNPJ,FEDERATION_NAME,NUCLEOS,ESTADO,CIDADE,UNIVERSIDADE,CURSOS,MEMBROS,FATURAMENTO,CONTRATOS,CLUSTER_2024,E_DE_ALTO_CRESCIMENTO,FACEBOOK
1,96.3,Facto Agência de Comunicação,contato@factoagencia.com.br,https://www.factoagencia.com.br/,11.370.755/0001-02,Concentro,,DF,Brasília,UNIVERSIDADE DE BRASÍLIA,"Comunicação Social - Audiovisual, Comunicação Social - Comunicação Organizacional, Comunicação Social - Publicidade E Propaganda, Jornalismo",29.0,204048.0,39.0,4.0,Sim,https://www.facebook.com/FactoAgencia
2,92.8,Ecos Jr.,presidenciaecosjr@gmail.com,http://www.ecosjr.com.br/,02.226.797/0001-75,Juniores,,ES,Vitória,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,"Administração, Artes Plásticas, Artes Visuais, Cinema E Audiovisual, Comunicação Social - Jornalismo, Comunicação Social - Publicidade E Propaganda, Design, Letras - Português, Psicologia",51.0,55490.0,56.0,1.0,Sim,https://www.facebook.com/ecosjr/
3,91.9,ESPM Jr.,diretoriapresidencia@espmjr.com,http://www.espmjr.com/,03.419.601/0001-21,RioJunior,,RJ,Rio de Janeiro,ESCOLA SUPERIOR DE PROPAGANDA E MARKETING DO RIO DE JANEIRO,"Administração, Comunicação Social - Publicidade E Propaganda, Design",37.0,302121.0,27.0,5.0,Sim,https://www.facebook.com/espmjuniorRJ/?fref=ts
4,90.0,Fluxo Consultoria,fluxo@poli.ufrj.br,http://fluxoconsultoria.poli.ufrj.br/,72.387.608/0001-21,RioJunior,,RJ,Rio de Janeiro,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,"Arquitetura E Urbanismo, Comunicação Visual Design, Engenharia Ambiental, Engenharia (Ciclo Básico), Engenharia Civil, Engenharia De Alimentos, Engenharia De Bioprocessos, Engenharia De Computação E Informação, Engenharia De Controle E Automação, Engenharia De Materiais, Engenharia De Produção, Engenharia Elétrica, Engenharia Eletrônica E De Computação, Engenharia Mecânica, Engenharia Metalúrgica, Engenharia Naval E Oceânica, Engenharia Nuclear, Engenharia Química",112.0,1385542.76,97.0,4.0,Não,https://www.facebook.com/fluxoconsultoria/?fref=ts
5,89.6,Arco Consultoria,comercial@arcoconsultoria.org,https://www.arcoconsultoria.org/,27.237.722/0001-10,FEJEPE,,PE,Recife,UNIVERSIDADE FEDERAL DE PERNAMBUCO,"Abi - Engenharia, Arquitetura E Urbanismo, Design, Engenharia Civil, Publicidade E Propaganda",30.0,180884.94,40.0,4.0,Sim,https://www.facebook.com/consultoria.arco
6,88.8,Primus Consultoria Empresarial Jr,contato@primusconsultoria.com.br,http://primusconsultoria.com.br/,96.850.250/0001-90,UNIJr-BA,NEJ Salvador,BA,Salvador,UNIVERSIDADE SALVADOR,"Administração, Ciências Contábeis, Ciências Econômicas, Comunicação E Marketing, Comunicação Social - Publicidade E Propaganda, Design, Gestão Comercial, Gestão Da Qualidade, Gestão De Recursos Humanos, Gestão Financeira, Relações Internacionais",51.0,202645.0,19.0,3.0,Não,https://www.facebook.com/ejprimusconsultoria
7,88.2,Empresa Júnior UNICAP,contato@ejunicap.com,https://ejunicap.com.br/,25.353.663/0001-10,FEJEPE,,PE,Recife,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,"Administração, Arquitetura E Urbanismo, Ciência Da Computação, Ciência Política, Ciências Contábeis, Ciências Econômicas, Comunicação Social - Publicidade E Propaganda, Direito, Engenharia Civil, Engenharia De Produção, Fotografia, Jornalismo, Psicologia",45.0,148135.0,29.0,4.0,Não,https://www.facebook.com/ejunicap/?ref=aymt_homepage_panel
8,85.7,Cria UFMG,presidencia@criaufmg.com.br,http://criaufmg.com.br/,03.401.931/0001-90,FEJEMG,Núcleo Central,MG,Belo Horizonte,UNIVERSIDADE FEDERAL DE MINAS GERAIS,"Jornalismo, Publicidade E Propaganda, Relações Públicas",46.0,129677.0,33.0,3.0,Não,https://www.facebook.com/pg/criaufmg/about/?ref=page_internal
9,85.7,Projetos Consultoria Integrada,contato@projetosintegrada.com.br,https://www.projetosintegrada.com.br/,03.459.709/0001-48,Concentro,,DF,Brasília,CENTRO UNIVERSITÁRIO DE BRASÍLIA,"Administração, Análise E Desenvolvimento De Sistemas, Arquitetura E Urbanismo, Ciência Da Computação, Ciências Contábeis, Comunicação Social - Publicidade E Propaganda, Design De Interiores, Design Gráfico, Direito, Engenharia Civil, Engenharia De Computação, Engenharia Elétrica, Gestão De Recursos Humanos, Gestão Financeira, Marketing, Psicologia, Relações Internacionais",57.0,53815.7,28.0,3.0,Não,https://www.facebook.com/projetosintegrada/?fref=ts
10,82.8,Ayra Consultoria,diretoria@ayraconsultoria.com,https://www.ayraconsultoria.com.br/,05.333.233/0001-20,RioJunior,,RJ,Rio de Janeiro,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,"Abi - Comunicação Social, Administração, Biblioteconomia E Gestão De Unidades De Informação, Ciências Contábeis, Ciências Econômicas",52.0,352087.71,37.0,5.0,Não,https://www.facebook.com/ayraconsultoria/
